model,sample.id,experiment,chrom,contigStart,contigEnd,peaks,bases
PeakSegPipeline,McGill0091,H3K4me3,chr1,10000,177417,2,167417
PeakSegPipeline,McGill0322,H3K4me3,chr1,10000,177417,2,167417
PeakSegPipeline,McGill0058,H3K4me3,chr1,10000,177417,3,167417
PeakSegPipeline,McGill0101,H3K4me3,chr1,10000,177417,3,167417
PeakSegPipeline,McGill0104,H3K4me3,chr1,10000,177417,3,167417
PeakSegPipeline,McGill0019,H3K4me3,chr1,10000,177417,2,167417
PeakSegPipeline,McGill0012,H3K4me3,chr1,10000,177417,2,167417
PeakSegPipeline,McGill0013,H3K4me3,chr1,10000,177417,2,167417
PeakSegPipeline,McGill0014,H3K4me3,chr1,10000,177417,2,167417
PeakSegPipeline,McGill0006,H3K4me3,chr1,10000,177417,1,167417
PeakSegPipeline,McGill0009,H3K4me3,chr1,10000,177417,2,167417
PeakSegPipeline,McGill0011,H3K4me3,chr1,10000,177417,2,167417
PeakSegPipeline,McGill0024,H3K4me3,chr1,10000,177417,2,167417
PeakSegPipeline,McGill0025,H3K4me3,chr1,10000,177417,2,167417
PeakSegPipeline,McGill0059,H3K4me3,chr1,10000,177417,2,167417
PeakSegPipeline,McGill0095,H3K4me3,chr1,10000,177417,2,167417
PeakSegPipeline,McGill0102,H3K4me3,chr1,10000,177417,2,167417
PeakSegPipeline,McGill0107,H3K4me3,chr1,10000,177417,2,167417
macs2.broad,McGill0058,H3K4me3,chr1,10000,177417,5,167417
macs2.default,McGill0058,H3K4me3,chr1,10000,177417,5,167417
macs2.broad,McGill0101,H3K4me3,chr1,10000,177417,4,167417
macs2.default,McGill0101,H3K4me3,chr1,10000,177417,5,167417
macs2.broad,McGill0016,H3K4me3,chr1,10000,177417,3,167417
macs2.default,McGill0016,H3K4me3,chr1,10000,177417,7,167417
macs2.broad,McGill0059,H3K4me3,chr1,10000,177417,2,167417
macs2.default,McGill0059,H3K4me3,chr1,10000,177417,2,167417
macs2.broad,McGill0019,H3K4me3,chr1,10000,177417,5,167417
macs2.default,McGill0019,H3K4me3,chr1,10000,177417,12,167417
macs2.broad,McGill0079,H3K4me3,chr1,10000,177417,5,167417
macs2.default,McGill0079,H3K4me3,chr1,10000,177417,6,167417
macs2.broad,McGill0104,H3K4me3,chr1,10000,177417,4,167417
macs2.default,McGill0104,H3K4me3,chr1,10000,177417,5,167417
macs2.broad,McGill0101,H3K36me3,chr1,10000,177417,17,167417
macs2.default,McGill0101,H3K36me3,chr1,10000,177417,35,167417
macs2.default,McGill0095,H3K4me3,chr1,10000,177417,3,167417
macs2.broad,McGill0095,H3K4me3,chr1,10000,177417,3,167417
macs2.broad,McGill0079,H3K36me3,chr1,10000,177417,7,167417
macs2.default,McGill0079,H3K36me3,chr1,10000,177417,24,167417
macs2.broad,McGill0002,H3K4me3,chr1,10000,177417,5,167417
macs2.default,McGill0002,H3K4me3,chr1,10000,177417,7,167417
macs2.broad,McGill0022,H3K36me3,chr1,10000,177417,8,167417
macs2.default,McGill0037,H3K4me3,chr1,10000,177417,10,167417
macs2.broad,McGill0037,H3K4me3,chr1,10000,177417,5,167417
macs2.broad,McGill0023,H3K36me3,chr1,10000,177417,5,167417
macs2.broad,McGill0008,H3K36me3,chr1,10000,177417,7,167417
macs2.default,McGill0008,H3K36me3,chr1,10000,177417,14,167417
macs2.default,McGill0012,H3K4me3,chr1,10000,177417,7,167417
macs2.broad,McGill0012,H3K4me3,chr1,10000,177417,2,167417
macs2.broad,McGill0037,H3K36me3,chr1,10000,177417,4,167417
macs2.default,McGill0022,H3K36me3,chr1,10000,177417,9,167417
PeakSegPipeline,McGill0322,H3K36me3,chr1,10000,177417,1,167417
PeakSegPipeline,McGill0022,H3K36me3,chr1,10000,177417,1,167417
